restaurantname,pricerange,area,food,phone,addr,postcode,good food,open kitchen,hygiene
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,not good food,not open kitchen,hygiene
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,not good food,open kitchen,hygiene
the golden curry,expensive,south,australasian,01223 329432,,,good food,not open kitchen,hygiene
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,good food,open kitchen,hygiene
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,good food,open kitchen,not hygiene
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,not good food,not open kitchen,hygiene
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,not good food,not open kitchen,hygiene
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,not good food,open kitchen,not hygiene
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,good food,open kitchen,hygiene
saffron brasserie,expensive,centre,jamaican,,,,not good food,not open kitchen,hygiene
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,good food,open kitchen,hygiene
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,not good food,not open kitchen,hygiene
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,good food,open kitchen,hygiene
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,good food,not open kitchen,not hygiene
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,good food,open kitchen,hygiene
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,not good food,not open kitchen,not hygiene
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,not good food,open kitchen,hygiene
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,good food,not open kitchen,hygiene
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,not good food,open kitchen,hygiene
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,good food,not open kitchen,hygiene
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,not good food,open kitchen,hygiene
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,good food,not open kitchen,hygiene
panahar,expensive,centre,mediterranean,,,,good food,open kitchen,hygiene
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,not good food,not open kitchen,not hygiene
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,not good food,not open kitchen,hygiene
sesame restaurant and bar,moderate,,turkish,,,,good food,open kitchen,hygiene
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,good food,not open kitchen,hygiene
